Symbol,Last Price,Change,P Change,Previous Close,Open,Day High,Day Low,Volume,Time,Date,52W High,52W Low,Market Cap (Cr),P/E Ratio,EPS,Sector,VWAP,Deliverable Volume,Deliverable %
TCS,3271.07,-24.84,-0.75,3295.91,3263.21,3287.1,3263.21,4273585,2025-05-16 15:28:00,2025-05-16,4020.24,2680.16,129861.53,31.48,103.91,IT,3264.24,2556997,76.56
CIPLA,2274.39,1.99,0.09,2272.4,2287.07,2287.07,2229.93,1633689,2025-05-16 15:28:00,2025-05-16,2876.96,1917.98,97571.17,18.2,124.97,Banking,2265.63,697047,43.64
LT,2882.04,-36.52,-1.25,2918.56,2936.57,2936.57,2882.04,3895892,2025-05-16 15:26:00,2025-05-16,3576.48,2384.32,62828.51,19.46,148.1,Construction,2890.37,2438760,71.74
WIPRO,469.04,-4.07,-0.86,473.11,476.94,476.94,468.95,604237,2025-05-16 15:25:00,2025-05-16,540.18,360.12,11632.17,33.88,13.84,IT,469.96,306060,73.83
GRASIM,2195.37,-22.9,-1.03,2218.27,2193.27,2207.82,2193.27,2932231,2025-05-16 15:25:00,2025-05-16,2672.63,1781.75,80350.4,22.32,98.36,IT,2193.72,1798377,57.79
ADANIPORTS,3069.93,-12.84,-0.42,3082.77,3049.42,3082.07,3049.42,1309577,2025-05-16 15:24:00,2025-05-16,3519.0,2346.0,244980.71,12.67,242.3,Infrastructure,3062.93,915073,69.55
APOLLOHOSP,3026.72,-11.59,-0.38,3038.31,3059.47,3059.47,2993.83,2008939,2025-05-16 15:24:00,2025-05-16,3432.05,2288.03,204303.91,11.95,253.28,Power,3038.98,1519744,63.5
TATASTEEL,1074.59,-5.5,-0.51,1080.09,1074.04,1075.57,1072.33,1432759,2025-05-16 15:21:00,2025-05-16,1238.78,825.86,26005.06,16.77,64.08,Metal,1069.45,857722,71.08
ASIANPAINT,2932.81,-30.75,-1.04,2963.56,2951.12,2964.85,2932.81,3808820,2025-05-16 15:20:00,2025-05-16,3780.78,2520.52,141654.78,64.88,45.2,Paints,2924.22,2533124,67.58
ADANIENT,2207.22,-15.7,-0.71,2222.92,2233.82,2233.82,2197.75,1510954,2025-05-16 15:17:00,2025-05-16,2805.8,1870.54,103297.95,23.23,95.02,Infrastructure,2205.68,752642,75.52
APOLLOHOSP,3048.24,9.93,0.33,3038.31,3059.47,3059.47,2993.83,3586007,2025-05-16 15:14:00,2025-05-16,3432.05,2288.03,122843.87,8.59,354.86,Power,3060.48,1843308,43.41
BAJAJFINSV,1597.99,-4.47,-0.28,1602.46,1611.3,1611.3,1579.69,1594869,2025-05-16 15:13:00,2025-05-16,1980.36,1320.24,57208.06,33.63,47.52,Financial Services,1604.98,1038718,48.01
LT,2906.67,-11.89,-0.41,2918.56,2936.57,2936.57,2895.01,604604,2025-05-16 15:11:00,2025-05-16,3576.48,2384.32,162482.95,29.38,98.93,Construction,2913.66,405813,72.03
DIVISLAB,1457.16,-26.35,-1.78,1483.51,1493.61,1493.61,1457.16,3052457,2025-05-16 15:11:00,2025-05-16,1767.94,1178.62,43569.03,16.92,86.12,Banking,1454.08,1571358,69.74
HCLTECH,1235.13,-4.18,-0.34,1239.31,1231.1,1240.6,1230.74,2538480,2025-05-16 15:10:00,2025-05-16,1416.54,944.36,35201.1,21.44,57.61,IT,1240.6,1279479,47.16
DIVISLAB,1474.75,-8.76,-0.59,1483.51,1493.61,1493.61,1467.28,1162125,2025-05-16 15:09:00,2025-05-16,1767.94,1178.62,115472.65,19.83,74.37,Banking,1474.57,700806,59.55
INDUSINDBK,3303.13,-12.74,-0.38,3315.87,3327.13,3327.13,3273.95,1822652,2025-05-16 15:05:00,2025-05-16,3807.01,2538.01,132455.38,25.81,127.98,Financial Services,3314.14,1342978,78.46
ASIANPAINT,2964.85,1.29,0.04,2963.56,2951.12,2964.85,2933.75,1029702,2025-05-16 15:04:00,2025-05-16,3780.78,2520.52,167514.09,64.25,46.15,Paints,2976.46,774850,54.86
BRITANNIA,1457.53,2.68,0.18,1454.85,1446.71,1457.53,1435.39,1247592,2025-05-16 15:03:00,2025-05-16,1712.21,1141.47,91095.68,24.17,60.3,Auto,1458.59,954520,77.25
HDFCBANK,1517.47,-18.97,-1.23,1536.44,1529.73,1530.25,1512.19,3990626,2025-05-16 15:02:00,2025-05-16,1896.6,1264.4,83764.55,23.63,64.22,Banking,1513.18,2549245,65.48
TCS,3272.64,-23.27,-0.71,3295.91,3263.21,3287.1,3263.21,4825792,2025-05-16 15:01:00,2025-05-16,4020.24,2680.16,118142.35,34.9,93.77,IT,3284.91,2668269,65.53
ONGC,3331.53,-56.2,-1.66,3387.73,3376.21,3376.21,3324.71,3010761,2025-05-16 15:01:00,2025-05-16,4194.2,2796.14,191229.9,11.44,291.22,Oil & Gas,3336.75,1652550,43.77
ADANIPORTS,3082.07,-0.7,-0.02,3082.77,3049.42,3082.07,3049.42,2316402,2025-05-16 15:00:00,2025-05-16,3519.0,2346.0,180301.2,24.16,127.57,Infrastructure,3097.17,1517922,44.41
ITC,397.2,-1.15,-0.29,398.35,396.64,397.61,392.47,2176239,2025-05-16 14:59:00,2025-05-16,504.3,336.2,12352.96,43.56,9.12,FMCG,398.75,1444617,44.02
